地名,ちめい,緯度,経度,地方,
アフガニスタン,Afghanistan,33.49,65.1,,Asia/Kabul
アルバニア,Albania,41.49,20,,Europe/Tirane
アルジェリア,Algeria,29,1.19,,GMT+01:00
アメリカ領サモア,American Samoa,-14,-170,,Pacific/Pago_Pago
アンドラ,Andorra,42.3,1.3,,Europe/Andorra
アンゴラ,Angola,-11.4,17.3,,MET
南極,Antarctica,-80,80,,
アンティグア・バーブーダ,Antigua & Barbuda,18.3,-60,,America/St_Johns
アルゼンチン,Argentina,-35.4,-62,,America/Argentina/Ushuaia
アルメニア,Armenia,40.4,45,,NET
アルバ,Aruba,12.5,-69.5,,America/Aruba
オーストラリア,Australia,-26,136,,Australia/Adelaide
オーストリア,Austria,47.49,14.3,,MET
アゼルバイジャン,Azerbaijan,39.3,49,,Asia/Baku
バハマ,Bahamas,24.4,-77.1,,America/Nassau
バーレーン,Bahrain,26.1,50.4,,Asia/Bahrain
バングラデシュ,Bangladesh,24.49,90.3,,Asia/Dhaka
バルバドス,Barbados,12.3,-59.4,,America/Barbados
ベラルーシ,Belarus,54.1,28.4,,Europe/Minsk
ベルギー,Belgium,50.4,3.3,,MET
ベリーズ,Belize,17.29,-88.1,,America/Belize
ベナン,Benin,10.19,1.49,,GMT+01:00
バミューダ,Bermuda,32.3,-65,,Atlantic/Bermuda
ブータン,Bhutan,27.4,90,,Asia/Thimphu
ボリビア,Bolivia,-14.1,-65.1,,America/La_Paz
ボスニア・ヘルツェゴビナ,Bosnia & Herzegovina,44.3,18,,MET
ボツワナ,Botswana,-21.1,24.3,,Africa/Gaborone
ブラジル,Brazil,-10,-51.4,,America/Sao_Paulo
ブルネイ,Brunei,5.3,114.19,,Asia/Brunei
ブルガリア,Bulgaria,42.3,24.3,,EET
ブルキナファソ,Burkina Faso,13,-2.1,,Africa/Ouagadougou
ブルンジ,Burundi,-3.1,29.4,,Africa/Bujumbura
カンボジア,Cambodia,12.4,105,,GMT+07:00
カメルーン,Cameroon,5.19,12.1,,Africa/Douala
カナダ,Canada,57,-107,,America/Winnipeg
カナリア諸島,Canarias,29,-17,,GMT
カーボベルデ,Cape Verde,14.1,-22.3,,Atlantic/Cape_Verde
ケイマン諸島,CaymanIslands,19.3,-81,,
中央アフリカ,Central African Rep.,6.3,19.49,,
チャド,Chad,14,19.49,,Africa/Ndjamena
チリ,Chile,-34.3,-71.4,,America/Santiago
中国,China,37,107,,CTT
コロンビア,Colombia,3.4,-72.4,,America/Bogota
